gene	disease
KRT83	Beaded hair;ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 5
KRT85	Ectodermal dysplasia, pure hair-nail type
KY	Myopathy, myofibrillar, 7;Hereditary spastic paraplegia
KYNU	Congenital NAD deficiency disorder;VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 2;Hydroxykynureninuria
L1CAM	Schizophrenia;Spastic paraplegia 1;Autistic disorder of childhood onset;Corpus callosum, partial agenesis of, X-linked;Hydrocephalus, X-linked, with hirschsprung disease;Spastic paraplegia;Hydrocephalus due to aqueductal stenosis;X-linked hydrocephalus syndrome
L2HGDH	L-2-hydroxyglutaric aciduria
LAGE3	GALLOWAY-MOWAT SYNDROME 2, X-LINKED
LAMA1	Inborn genetic diseases;Poretti-Boltshauser syndrome
LAMA2	Congenital muscular dystrophy;Inborn genetic diseases;Congenital muscular dystrophy due to partial LAMA2 deficiency;Merosin deficient congenital muscular dystrophy;Laminin alpha 2-related dystrophy;MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 23
LAMA3	Adult junctional epidermolysis bullosa;Junctional epidermolysis bullosa gravis of Herlitz;Laryngoonychocutaneous syndrome
LAMA4	Dilated cardiomyopathy 1JJ
LAMA5	Familial hematuria;Short stature
LAMB1	Lissencephaly 5
LAMB2	Nephrotic syndrome, type 5, with or without ocular abnormalities;Pierson syndrome
LAMB3	Adult junctional epidermolysis bullosa;Epidermolysis bullosa, junctional;Junctional epidermolysis bullosa gravis of Herlitz;Amelogenesis imperfecta, type IA
LAMC2	Adult junctional epidermolysis bullosa;Epidermolysis bullosa, junctional;Junctional epidermolysis bullosa gravis of Herlitz
LAMC3	Cortical malformations, occipital;Inborn genetic diseases
LAMP2	Schizophrenia;Primary familial hypertrophic cardiomyopathy;Autistic disorder of childhood onset;Cardiomyopathy;Danon disease
LARGE1	Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A6;Congenital muscular dystrophy-dystroglycanopathy with mental retardation, type B6
LARP7	Intellectual disability;Abnormality of brain morphology;Alazami syndrome
LARS	Infantile liver failure syndrome 1
LARS2	Perrault syndrome 4;Perrault syndrome;Hydrops, lactic acidosis, and sideroblastic anemia
LAS1L	Global developmental delay;Inborn genetic diseases
LAT	Immunodeficiency 52
LATS1	Peritoneal mesothelioma
LATS2	Peritoneal mesothelioma
LBR	Reynolds syndrome;Anadysplasia-like, spontaneously remitting spondylometaphyseal dysplasia;Short long bone;Femoral bowing;Retrognathia;Pelger-Huët anomaly;Rhizomelic leg shortening;Rhizomelic arm shortening;Disproportionate short stature;Jeune thoracic dystrophy;Greenberg dysplasia;PELGER-HUET ANOMALY WITH MILD SKELETAL ANOMALIES
LCA5	Leber congenital amaurosis 5;Leber congenital amaurosis;Retinal dystrophy;Inborn genetic diseases
LCAT	Fish-eye disease;Norum disease
LCK	Immunodeficiency 22
LCT	Congenital lactase deficiency
LDB3	Myofibrillar myopathy;Dilated cardiomyopathy 1C
LDLR	Hypercholesterolaemia;Inborn genetic diseases;Familial hypercholesterolemias;Familial hypercholesterolemia;FH LEIDEN 1
LDLRAP1	Hypercholesterolemia, autosomal recessive
LEMD2	Cataract Hutterite type
LEMD3	Cerebral arteriovenous malformation;Osteopoikilosis with melorheostosis;Dermatofibrosis lenticularis disseminata, isolated;Dermatofibrosis lenticularis disseminata
LEP	Leptin dysfunction;Leptin deficiency or dysfunction
LEPR	LEPR-Related Disorders;Obesity;Leptin receptor deficiency
LFNG	Spondylocostal dysostosis 3
LGI1	Epilepsy, lateral temporal lobe, autosomal dominant
LGI4	Arthrogryposis multiplex congenita, neurogenic, with myelin defect;Arthrogryposis multiplex congenita neurogenic type
LHB	Isolated lutropin deficiency
LHCGR	Leydig cell agenesis;Leydig cell hypoplasia, partial;Precocious puberty in males;Gonadotropin-independent familial sexual precocity;Leydig hypoplasia, type I;Luteinizing hormone resistance, female;Pseudohermaphroditism;Leydig cell adenoma, somatic, with male-limited precocious puberty
LHFPL5	Autosomal recessive non-syndromic intellectual disability;Deafness, autosomal recessive 67
LHX3	Pituitary hormone deficiency, combined 3
LHX4	Pituitary hormone deficiency, combined 4
LIAS	Pyruvate dehydrogenase lipoic acid synthetase deficiency
LIFR	Hemophagocytic lymphohistiocytosis, familial, 2;Stuve-Wiedemann syndrome;Congenital anomalies of kidney and urinary tract
LIG4	Papillary thyroid carcinoma;Lig4 syndrome;Inborn genetic diseases
LIM2	Cataract;Cataract 19, multiple types
LIMS2	MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, WITH CARDIOMYOPATHY AND TRIANGULAR TONGUE
LINGO1	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 64
LINS1	Mental retardation, autosomal recessive 27;Inborn genetic diseases
LIPA	Lysosomal acid lipase deficiency;Wolman disease;Cholesteryl ester storage disease
LIPC	High density lipoprotein cholesterol level quantitative trait locus 12;Diabetes mellitus type 2;Hepatic lipase deficiency
LIPE	Familial partial lipodystrophy 6
LIPH	Hypotrichosis 7;Woolly hair, autosomal recessive 2, with or without hypotrichosis
LIPN	Autosomal recessive congenital ichthyosis 8
LIPT1	Lipoyltransferase 1 deficiency
LIPT2	ENCEPHALOPATHY, NEONATAL SEVERE, WITH LACTIC ACIDOSIS AND BRAIN ABNORMALITIES
LITAF	Charcot-Marie-Tooth disease, type 1C
LMAN1	Combined deficiency of factor V and factor VIII, 1
LMAN2L	Mental retardation, autosomal recessive 52
LMBR1	Mirror image polydactyly;Triphalangeal thumb;Acheiropodia;Tibia, hypoplasia or aplasia of, with polydactyly;Polydactyly, preaxial II;Triphalangeal thumb polysyndactyly syndrome
LMBRD1	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE
LMF1	Lipase deficiency combined
LMNA	Dilated cardiomyopathy 1A;Charcot-Marie-Tooth disease, type 2;Mandibuloacral dysplasia with type A lipodystrophy;Hutchinson-Gilford syndrome;Laminopathy;Arrhythmogenic right ventricular cardiomyopathy, type 9;Hutchinson-Gilford progeria syndrome, childhood-onset;Congenital muscular dystrophy;Right ventricular cardiomyopathy;Hutchinson-Gilford progeria syndrome, atypical;Cardiovascular phenotype;Cardiomyopathy;Emery-Dreifuss muscular dystrophy;Congenital muscular dystrophy, LMNA-related;Cardiac conduction defect, nonspecific;Familial dilated cardiomyopathy;Muscular dystrophy;Primary dilated cardiomyopathy;Inborn genetic diseases
LMNB2	Epilepsy, progressive myoclonic, 9
LMOD1	Visceral myopathy
LMOD3	Nemaline myopathy 10
LMX1A	Sensorineural hearing loss
LMX1B	Nail-patella syndrome
LNPK	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND HYPOPLASIA OF THE CORPUS CALLOSUM
LONP1	CODAS syndrome
LOX	Familial thoracic aortic aneurysm;Acute aortic dissection;Thoracic aortic aneurysm and aortic dissection;Aortic aneurysm, familial thoracic 10
LOXHD1	Deafness, autosomal recessive 77;Deafness;Nonsyndromic hearing loss and deafness;Autosomal recessive non-syndromic sensorineural deafness type DFNB
LOXL1	Exfoliation syndrome, susceptibility to
LPA	Lipoprotein(a) deficiency, congenital
LPAR6	Hypotrichosis 8;Autosomal recessive woolly hair 1, with or without hypotrichosis
LPIN1	Myoglobinuria, acute recurrent, autosomal recessive
LPIN2	Majeed syndrome
LPL	Hyperlipidemia, familial combined, susceptibility to;Hyperapobetalipoproteinemia;Lpl-arita;Hyperlipoproteinemia, type I;LIPOPROTEIN LIPASE (OLBIA);Inborn genetic diseases
LRAT	Retinitis pigmentosa;RETINITIS PIGMENTOSA, JUVENILE, LRAT-RELATED;RETINAL DYSTROPHY, EARLY-ONSET SEVERE, LRAT-RELATED;Leber congenital amaurosis 14
LRBA	Common variable immunodeficiency 8, with autoimmunity
LRIG2	Urofacial syndrome 2
LRIT3	Congenital stationary night blindness, type 1F
LRMDA	Albinism, oculocutaneous, type VII
LRP1	Keratosis pilaris;Atrophoderma vermiculatum
LRP2	Donnai Barrow syndrome;Pituitary prolactin cell adenoma;Retinal dystrophy;Severe Myopia
LRP4	Myasthenic syndrome, congenital, 17;Sclerosteosis 2;Syndactyly Cenani Lenz type
LRP5	Postmenopausal osteoporosis;Osteoporosis with pseudoglioma;POLYCYSTIC LIVER DISEASE 4 WITH OR WITHOUT KIDNEY CYSTS;Bone mineral density quantitative trait locus 1;POLYCYSTIC LIVER DISEASE 4 WITH KIDNEY CYSTS;Osteopetrosis autosomal dominant type 1;Exudative vitreoretinopathy 4;High bone mass;Familial exudative vitreoretinopathy;Worth disease;Exudative vitreoretinopathy 4, autosomal recessive;Exudative vitreoretinopathy 4, digenic;Vitreoretinopathy;Inborn genetic diseases;Polycystic liver disease 1;Exudative vitreoretinopathy 4, autosomal dominant
LRP6	Tooth agenesis;Coronary artery disease, autosomal dominant 2;Orofacial clefting;Tooth agenesis, selective, 7
LRP8	Myocardial infarction 1
LRPAP1	Rare isolated myopia;Myopia 23, autosomal recessive
LRPPRC	Leigh syndrome, French Canadian type
LRRC32	Global developmental delay;Cleft palate;Vitreoretinopathy
LRRC56	Squamous cell lung carcinoma;Lung adenocarcinoma;Uterine cervical neoplasms;Malignant neoplasm of body of uterus;Multiple myeloma;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Chronic lymphocytic leukemia;Squamous cell carcinoma of the skin;Neoplasm of the breast;Pancreatic adenocarcinoma;Hepatocellular carcinoma;Neoplasm of the thyroid gland;Transitional cell carcinoma of the bladder;Neoplasm;CILIARY DYSKINESIA, PRIMARY, 39;Acute myeloid leukemia;Neoplasm of the large intestine;Malignant melanoma of skin;Adenocarcinoma of prostate
LRRC6	Kartagener syndrome;Inborn genetic diseases;Ciliary dyskinesia, primary, 19
LRRCC1	Joubert Syndrome and Related Disorders
LRRK1	Osteosclerotic metaphyseal dysplasia
LRRK2	Parkinson disease 8, autosomal dominant;Parkinson disease, late-onset
LRSAM1	Charcot-Marie-Tooth disease type 2P;Charcot-Marie-Tooth disease
LRTOMT	Deafness, autosomal recessive 63;Inborn genetic diseases;Nonsyndromic hearing loss and deafness
LSS	HYPOTRICHOSIS 14;Cataract 44
LTA	Leprosy, early-onset, susceptibility to;Psoriatic arthritis, susceptibility to;Myocardial infarction
LTBP2	Glaucoma 3, primary congenital, A;Marfan syndrome;Microspherophakia;Glaucoma 3, primary congenital, d;Pseudoexfoliation glaucoma;Weill-Marchesani syndrome 1;Weill-Marchesani syndrome 3;Primary open angle glaucoma
LTBP3	GELEOPHYSIC DYSPLASIA 3;Verloes Bourguignon syndrome
LTBP4	Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities
LYRM4	Combined oxidative phosphorylation deficiency 19
LYRM7	Mitochondrial complex III deficiency, nuclear type 8
LYST	Recurrent infections;Chediak-Higashi syndrome, adult type;Chediak-Higashi syndrome, childhood type;Chédiak-Higashi syndrome
LYZ	Familial visceral amyloidosis, Ostertag type
LZTFL1	Bardet-Biedl syndrome 17;Bardet-Biedl syndrome 1
LZTR1	Noonan syndrome 10;Noonan syndrome 2;Schwannomatosis 2;Autosomal recessive Noonan-like syndrome due to compound heterozygous variants in LZTR1;Short stature;Inborn genetic diseases
LZTS1	Esophageal squamous cell carcinoma, somatic
MAB21L1	Autistic disorder of childhood onset;CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME
MAB21L2	Microphthalmia/coloboma and skeletal dysplasia syndrome
MACF1	Lissencephaly;Short stature;Lissencephaly with decussation defect
MACROD2	Schizophrenia;Autistic disorder of childhood onset
MAD1L1	Prostate cancer, somatic;Lymphoma, somatic
MAD2L2	Fanconi anemia, complementation group V
MAF	Schizophrenia;Congenital cataract;Cataract 21, multiple types;Ayme-gripp syndrome
MAFA	Islet cell adenomatosis
MAFB	Duane retraction syndrome 3 with or without deafness;Duane syndrome type 3;Duane syndrome type 1;Duane syndrome type 2;Multicentric osteolysis nephropathy
MAG	Spastic paraplegia 75, autosomal recessive
MAGED2	Global developmental delay;Hypoplasia of the corpus callosum;Bartter syndrome, type 5, antenatal, transient;Cerebellar atrophy;Dandy-Walker syndrome;Muscular hypotonia;Attention deficit hyperactivity disorder
MAGEL2	Schaaf-yang syndrome;Inborn genetic diseases
MAGI2	Nephrotic syndrome type 15
MAGT1	Schizophrenia;Congenital disorder of glycosylation;Autistic disorder of childhood onset;Immunodeficiency, X-Linked, with magnesium defect, Epstein-Barr virus infection, and neoplasia
MAK	Retinitis pigmentosa;Retinitis pigmentosa 62
MALT1	Immunodeficiency 12
MAMLD1	Hypospadias 2, X-linked
MAN1B1	Mental retardation, autosomal recessive 15;MAN1B1-Related Disorders;Inborn genetic diseases;History of neurodevelopmental disorder
MAN2B1	Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency;Inborn genetic diseases;Deficiency of alpha-mannosidase
MANBA	Beta-D-mannosidosis
MAOA	Monoamine oxidase A deficiency;Schizophrenia;Autism, severe;Antisocial behavior, susceptibility to;Autistic disorder of childhood onset
MAP11	MICROCEPHALY 25, PRIMARY, AUTOSOMAL RECESSIVE
MAP1B	Periventricular nodular heterotopia
MAP2K1	Cardiofaciocutaneous syndrome 3;Cutaneous melanoma;Lung adenocarcinoma;Rasopathy;Malignant neoplasm of body of uterus;Cardio-facio-cutaneous syndrome;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Non-Hodgkin lymphoma;Noonan syndrome 1;Neoplasm;Transitional cell carcinoma of the bladder;Neoplasm of the large intestine;Non-small cell lung cancer;Inborn genetic diseases;Malignant melanoma of skin;Adenocarcinoma of prostate
MAP2K2	Smith-Magenis Syndrome-like;Cutaneous melanoma;Cardiofaciocutaneous syndrome 4;Cardio-facio-cutaneous syndrome;Adenocarcinoma of stomach;Squamous cell carcinoma of the head and neck;Pancreatic adenocarcinoma;Malignant melanoma of skin
MAP3K1	Ovarian Neoplasms;46,XY sex reversal, type 6;Inborn genetic diseases
MAP3K20	Split-foot malformation with mesoaxial polydactyly;MYOPATHY, CENTRONUCLEAR, 6, WITH FIBER-TYPE DISPROPORTION;Split-hand/foot malformation 1
MAP3K7	Cardiospondylocarpofacial syndrome;Frontometaphyseal dysplasia 2
MAP4K4	Cerebral arteriovenous malformation
MAPK1	Squamous cell carcinoma of the head and neck;Transitional cell carcinoma of the bladder;Uterine cervical neoplasms;Inborn genetic diseases
MAPK7	Scoliosis, isolated, susceptibility to, 1
MAPK8IP1	Diabetes mellitus type 2
MAPK8IP3	MAPK8IP3-related disorder;NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT VARIABLE BRAIN ABNORMALITIES
MAPKAPK3	Macular dystrophy, patterned, 3
MAPKBP1	Nephronophthisis 20
MAPRE2	Skin creases, congenital symmetric circumferential, 2
MAPT	Alzheimers disease;Frontotemporal dementia
MARK3	VISUAL IMPAIRMENT AND PROGRESSIVE PHTHISIS BULBI
MARS	Interstitial lung and liver disease;Charcot-Marie-Tooth disease, axonal, type 2u;Pulmonary alveolar proteinosis;Charcot-Marie-Tooth disease
MARS2	Ataxia, spastic, 3, autosomal recessive;Combined oxidative phosphorylation deficiency 25
MARVELD2	Deafness;Nonsyndromic hearing loss and deafness;Deafness, autosomal recessive 49
MASP1	Michels syndrome
MAST1	MEGA-CORPUS-CALLOSUM SYNDROME WITH CEREBELLAR HYPOPLASIA AND CORTICAL MALFORMATIONS
MAT1A	Hepatic methionine adenosyltransferase deficiency
MATN3	Spondyloepimetaphyseal dysplasia Matrilin-3 related;Multiple epiphyseal dysplasia 5;Multiple Epiphyseal Dysplasia, Dominant
MATN4	Global developmental delay;Proptosis;Holoprosencephaly sequence;Microcephaly;Diabetes insipidus;Lumbosacral myelomeningocele;Seizures
MATR3	Amyotrophic lateral sclerosis 21
MAX	Hereditary Paraganglioma-Pheochromocytoma Syndromes;Pheochromocytoma, susceptibility to;Hereditary cancer-predisposing syndrome
MBD5	Schizophrenia;Autistic disorder of childhood onset;Autism spectrum disorder;Inborn genetic diseases;Mental retardation, autosomal dominant 1
MBL2	Mannose-binding protein deficiency
MBOAT7	Mental retardation, autosomal recessive 57
MBTPS1	SPONDYLOEPIPHYSEAL DYSPLASIA, KONDO-FU TYPE
MBTPS2	Palmoplantar keratoderma, mutilating, with periorificial keratotic plaques, X-linked;IFAP syndrome with or without BRESHECK syndrome;OSTEOGENESIS IMPERFECTA, TYPE XIX
MC1R	Tyrosinase-positive oculocutaneous albinism;Uv-induced skin damage, susceptibility to
MC2R	ACTH resistance;Glucocorticoid Deficiency
MC3R	Body mass index quantitative trait locus 9
MC4R	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20;Obesity, autosomal dominant;Obesity
MCC	Carcinoma of colon
MCCC1	3 Methylcrotonyl-CoA carboxylase 1 deficiency
MCCC2	3-methylcrotonyl CoA carboxylase 2 deficiency
MCFD2	Factor v and factor viii, combined deficiency of, 2
MCIDAS	Ciliary dyskinesia;Kartagener syndrome
MCM2	Deafness, autosomal dominant 70
MCM3AP	PERIPHERAL NEUROPATHY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT
MCM4	Natural killer cell and glucocorticoid deficiency with DNA repair defect
MCM5	MEIER-GORLIN SYNDROME 8
MCM8	Premature ovarian failure 10
MCM9	Ovarian dysgenesis 4;Premature ovarian failure 1
MCOLN1	Growth delay;Delayed myelination;Periventricular leukomalacia;Intellectual disability;Atrophy/Degeneration affecting the brainstem;Corneal opacity;Mucolipidosis type IV;Delayed speech and language development
MCPH1	Abnormality of brain morphology;Primary autosomal recessive microcephaly 1
MDH2	Infantile encephalopathy;Epileptic encephalopathy, early infantile, 51
MDM2	Accelerated tumor formation, susceptibility to
MECOM	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2
MECP2	Schizophrenia;Focal epilepsy;Autistic disorder of childhood onset;Epileptic encephalopathy;Developmental regression;Absent speech;Seizures;Attention deficit hyperactivity disorder;Irregular respiration;Mental retardation, X-linked, syndromic 13;Angelman syndrome;MECP2 duplication syndrome;Autism, susceptibility to, X-linked 3;Rett syndrome;Severe global developmental delay;Inborn genetic diseases;Severe neonatal-onset encephalopathy with microcephaly;History of neurodevelopmental disorder
MECR	Optic atrophy;Childhood Onset Dystonias;Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities
MED12	Squamous cell lung carcinoma;Intellectual disability;Ohdo syndrome, X-linked;Abnormal facial shape;Global developmental delay;Adenocarcinoma of stomach;Neoplasm of the breast;Microcephaly;Pancreatic adenocarcinoma;Expressive language delay;Broad thumb;FG syndrome;X-linked mental retardation with marfanoid habitus syndrome;Agenesis of corpus callosum;Imperforate anus;Absent speech;Seizures;Ventriculomegaly;Inborn genetic diseases;Adenocarcinoma of prostate
MED12L	Intellectual disability
MED13	CDK8-kinase module-associated disorder
MED13L	Motor delay;Vesicoureteral reflux;Delayed speech and language development;Intellectual disability;Transposition of the great arteries, dextro-looped 1;Strabismus;Inborn genetic diseases;Mental retardation and distinctive facial features with or without cardiac defects
MED17	Microcephaly, postnatal progressive, with seizures and brain atrophy
MED23	Mental retardation, autosomal recessive 18
MED24	Short stature
